wins,wins_without_guess,time_elapsed,samples_considered,samples_with_solutions,difficulty,sample_size,use_num_mines_constraint,first_click_pos,first_click_is_zero,parameters_id
484,448,22.18558096885681,1672,1618,Beginner (9x9),11x11,True,"(3, 3)",True,1
477,444,24.607248067855835,1701,1643,Beginner (9x9),11x11,True,"(3, 3)",True,1
482,449,24.716613054275513,1682,1619,Beginner (9x9),11x11,True,"(3, 3)",True,1
471,449,22.482429265975952,1656,1602,Beginner (9x9),11x11,True,"(3, 3)",True,1
483,461,65.35371994972229,1645,1604,Beginner (9x9),11x11,True,"(3, 3)",True,1
479,456,65.83805799484253,1661,1611,Beginner (9x9),11x11,True,"(3, 3)",True,1
483,454,69.10339832305908,1635,1589,Beginner (9x9),11x11,True,"(3, 3)",True,1
476,447,70.33766293525696,1662,1609,Beginner (9x9),11x11,True,"(3, 3)",True,1
473,444,69.66585302352905,1666,1602,Beginner (9x9),11x11,True,"(3, 3)",True,1
477,455,69.21276521682739,1626,1584,Beginner (9x9),11x11,True,"(3, 3)",True,1
435,368,252.33755469322205,4341,4160,Intermediate (16x16),18x18,True,"(3, 3)",True,2
416,358,260.0400142669678,4372,4157,Intermediate (16x16),18x18,True,"(3, 3)",True,2
481,455,24.279152154922485,1651,1594,Beginner (9x9),11x11,True,"(3, 3)",True,1
429,356,272.1952111721039,4303,4081,Intermediate (16x16),18x18,True,"(3, 3)",True,2
484,458,23.982301712036133,1681,1634,Beginner (9x9),11x11,True,"(3, 3)",True,1
417,349,263.03975439071655,4382,4162,Intermediate (16x16),18x18,True,"(3, 3)",True,2
419,342,253.82180333137512,4318,4097,Intermediate (16x16),18x18,True,"(3, 3)",True,2
476,445,23.482347011566162,1627,1557,Beginner (9x9),11x11,True,"(3, 3)",True,1
432,353,677.4570512771606,4326,4130,Intermediate (16x16),18x18,True,"(3, 3)",True,2
421,353,768.0742192268372,4347,4162,Intermediate (16x16),18x18,True,"(3, 3)",True,2
424,344,785.3852274417877,4386,4163,Intermediate (16x16),18x18,True,"(3, 3)",True,2
442,373,790.759761095047,4347,4167,Intermediate (16x16),18x18,True,"(3, 3)",True,2
425,350,799.2121601104736,4348,4129,Intermediate (16x16),18x18,True,"(3, 3)",True,2
483,455,72.33750367164612,1647,1601,Beginner (9x9),11x11,True,"(3, 3)",True,1
430,353,262.8679177761078,4400,4194,Intermediate (16x16),18x18,True,"(3, 3)",True,2
418,337,804.6804444789886,4372,4133,Intermediate (16x16),18x18,True,"(3, 3)",True,2
478,453,73.94673681259155,1707,1651,Beginner (9x9),11x11,True,"(3, 3)",True,1
425,348,785.6039762496948,4393,4154,Intermediate (16x16),18x18,True,"(3, 3)",True,2
439,368,615.2125363349915,4421,4241,Intermediate (16x16),18x18,True,"(3, 3)",True,2
426,345,622.2275633811951,4491,4256,Intermediate (16x16),18x18,True,"(3, 3)",True,2
169,67,1716.0393204689026,9623,8564,Expert (16x30),18x32,True,"(3, 3)",True,3
178,65,1851.183928489685,9633,8467,Expert (16x30),18x32,True,"(3, 3)",True,3
193,80,1958.5028011798859,9859,8795,Expert (16x30),18x32,True,"(3, 3)",True,3
192,81,2144.361788034439,9529,8469,Expert (16x30),18x32,True,"(3, 3)",True,3
177,72,1880.3065023422241,9635,8526,Expert (16x30),18x32,True,"(3, 3)",True,3
170,85,2276.6302280426025,9635,8535,Expert (16x30),18x32,True,"(3, 3)",True,3
172,66,2332.1677734851837,9233,8200,Expert (16x30),18x32,True,"(3, 3)",True,3
183,68,2374.483206510544,9481,8427,Expert (16x30),18x32,True,"(3, 3)",True,3
160,67,2027.9889073371887,9708,8653,Expert (16x30),18x32,True,"(3, 3)",True,3
181,64,2538.098373889923,9787,8692,Expert (16x30),18x32,True,"(3, 3)",True,3
186,78,1858.745760679245,9738,8742,Expert (16x30),18x32,True,"(3, 3)",True,3
193,79,1987.1242065429688,9856,8778,Expert (16x30),18x32,True,"(3, 3)",True,3
167,55,2563.8680782318115,9598,8439,Expert (16x30),18x32,True,"(3, 3)",True,3
172,65,2705.277698993683,9629,8529,Expert (16x30),18x32,True,"(3, 3)",True,3
170,60,1868.0825579166412,9508,8399,Expert (16x30),18x32,True,"(3, 3)",True,3
