wins,wins_without_guess,time_elapsed,samples_considered,samples_with_solutions,difficulty,sample_size,use_num_mines_constraint,first_click_pos,first_click_is_zero,parameters_id
97,91,4.624224424362183,340,332,Beginner (9x9),11x11,True,"(3, 3)",True,1
93,85,4.874183893203735,344,327,Beginner (9x9),11x11,True,"(3, 3)",True,1
97,91,4.764829158782959,318,308,Beginner (9x9),11x11,True,"(3, 3)",True,1
96,88,4.780447721481323,321,306,Beginner (9x9),11x11,True,"(3, 3)",True,1
95,92,14.716280698776245,325,316,Beginner (9x9),11x11,True,"(3, 3)",True,1
96,92,16.981522798538208,335,326,Beginner (9x9),11x11,True,"(3, 3)",True,1
94,85,17.887617349624634,364,350,Beginner (9x9),11x11,True,"(3, 3)",True,1
95,88,19.24676251411438,345,331,Beginner (9x9),11x11,True,"(3, 3)",True,1
98,91,15.841088056564331,338,329,Beginner (9x9),11x11,True,"(3, 3)",True,1
98,90,19.606078624725342,353,337,Beginner (9x9),11x11,True,"(3, 3)",True,1
97,91,16.4191153049469,331,320,Beginner (9x9),11x11,True,"(3, 3)",True,1
93,71,47.882582664489746,859,825,Intermediate (16x16),18x18,True,"(3, 3)",True,2
83,71,49.085503816604614,864,827,Intermediate (16x16),18x18,True,"(3, 3)",True,2
81,73,46.023513078689575,819,791,Intermediate (16x16),18x18,True,"(3, 3)",True,2
97,91,4.218039274215698,332,324,Beginner (9x9),11x11,True,"(3, 3)",True,1
84,73,53.66285800933838,892,855,Intermediate (16x16),18x18,True,"(3, 3)",True,2
97,88,4.202417612075806,339,328,Beginner (9x9),11x11,True,"(3, 3)",True,1
84,74,54.6314435005188,920,878,Intermediate (16x16),18x18,True,"(3, 3)",True,2
98,90,4.46799635887146,333,323,Beginner (9x9),11x11,True,"(3, 3)",True,1
84,69,48.6949405670166,868,831,Intermediate (16x16),18x18,True,"(3, 3)",True,2
85,67,47.132707357406616,864,820,Intermediate (16x16),18x18,True,"(3, 3)",True,2
95,88,4.81169319152832,337,323,Beginner (9x9),11x11,True,"(3, 3)",True,1
83,74,51.25701189041138,858,818,Intermediate (16x16),18x18,True,"(3, 3)",True,2
90,78,53.037960052490234,892,861,Intermediate (16x16),18x18,True,"(3, 3)",True,2
86,66,160.55114078521729,878,836,Intermediate (16x16),18x18,True,"(3, 3)",True,2
97,90,5.061650037765503,350,338,Beginner (9x9),11x11,True,"(3, 3)",True,1
86,72,176.57970094680786,833,787,Intermediate (16x16),18x18,True,"(3, 3)",True,2
79,72,179.62605929374695,853,807,Intermediate (16x16),18x18,True,"(3, 3)",True,2
93,89,15.934817790985107,331,320,Beginner (9x9),11x11,True,"(3, 3)",True,1
87,73,180.00100302696228,862,820,Intermediate (16x16),18x18,True,"(3, 3)",True,2
85,66,205.481121301651,918,861,Intermediate (16x16),18x18,True,"(3, 3)",True,2
95,90,14.466363906860352,314,302,Beginner (9x9),11x11,True,"(3, 3)",True,1
93,80,180.78218293190002,859,830,Intermediate (16x16),18x18,True,"(3, 3)",True,2
97,92,14.247648477554321,328,320,Beginner (9x9),11x11,True,"(3, 3)",True,1
34,14,341.33370304107666,1894,1672,Expert (16x30),18x32,True,"(3, 3)",True,3
