wins,wins_without_guess,time_elapsed,samples_considered,samples_with_solutions,difficulty,sample_size,use_num_mines_constraint,first_click_pos,first_click_is_zero,parameters_id,batch_size
10,10,0.3905951976776123,27,27,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
10,9,0.4530892372131347,39,37,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
9,9,0.499957799911499,32,31,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
8,8,0.6093227863311768,39,37,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
10,10,0.4219493865966797,31,31,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
10,8,0.8125474452972412,40,38,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
8,8,4.187258005142212,85,84,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
9,9,0.3439385890960693,33,32,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
10,9,5.203016757965088,86,85,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
8,8,4.859292268753052,79,74,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
9,7,0.4064204692840576,32,29,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
8,7,4.968666076660156,91,87,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
8,6,6.234295845031738,100,94,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
10,7,0.765556812286377,38,34,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
6,5,7.921728610992432,94,87,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
9,8,5.468483686447144,90,86,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
8,8,0.3282990455627441,33,31,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
9,8,4.921649932861328,84,81,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
8,7,5.3279900550842285,85,82,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
10,8,0.593698263168335,38,36,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
10,7,5.452876567840576,98,95,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
6,5,4.296732664108276,82,76,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
10,9,0.3906903266906738,34,33,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
8,7,4.515355348587036,76,71,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
4,2,25.54618740081787,179,164,Expert (16x30),18x32,True,"(3, 3)",True,3,10
10,10,0.609550952911377,36,36,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
2,1,27.04640388488769,142,121,Expert (16x30),18x32,True,"(3, 3)",True,3,10
4,0,28.921226739883423,218,195,Expert (16x30),18x32,True,"(3, 3)",True,3,10
10,9,0.6564102172851562,39,39,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
8,6,5.093635559082031,90,85,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
3,1,26.624357223510746,173,154,Expert (16x30),18x32,True,"(3, 3)",True,3,10
9,9,0.5001630783081055,34,33,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
8,6,5.120882987976074,94,89,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
4,2,34.07746934890747,209,193,Expert (16x30),18x32,True,"(3, 3)",True,3,10
10,10,0.3594114780426025,33,33,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
6,2,37.686816692352295,222,200,Expert (16x30),18x32,True,"(3, 3)",True,3,10
3,2,34.06210374832153,186,164,Expert (16x30),18x32,True,"(3, 3)",True,3,10
10,10,0.3122637271881103,30,30,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
9,8,6.062445402145386,84,80,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
10,9,5.4686784744262695,92,91,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
9,9,0.5155820846557617,34,33,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
3,1,37.21806597709656,183,154,Expert (16x30),18x32,True,"(3, 3)",True,3,10
8,8,4.6715474128723145,80,76,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
9,8,0.3437223434448242,31,29,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
4,3,35.28032946586609,183,166,Expert (16x30),18x32,True,"(3, 3)",True,3,10
8,6,5.3745410442352295,89,84,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
3,1,31.717918157577515,195,179,Expert (16x30),18x32,True,"(3, 3)",True,3,10
10,9,0.437462568283081,31,30,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
3,1,26.98361587524414,173,153,Expert (16x30),18x32,True,"(3, 3)",True,3,10
9,9,0.3749690055847168,33,32,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
10,8,5.7651283740997314,99,98,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
8,8,4.421496868133545,78,77,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
10,10,0.5155832767486572,31,31,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
8,7,3.937158584594727,82,78,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
9,4,4.452739715576172,86,82,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
9,8,0.593698263168335,35,33,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
1,0,58.95091509819031,199,161,Expert (16x30),18x32,True,"(3, 3)",True,3,10
3,2,25.04518795013428,188,173,Expert (16x30),18x32,True,"(3, 3)",True,3,10
10,10,0.421842098236084,29,29,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
4,2,34.301668643951416,186,166,Expert (16x30),18x32,True,"(3, 3)",True,3,10
10,9,4.280885934829712,75,74,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
10,9,0.5936987400054932,35,34,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
2,1,32.216777086257935,217,191,Expert (16x30),18x32,True,"(3, 3)",True,3,10
