difficulty_id,sample_width,sample_height,use_mine_count,first_click_always_zero,can_flag,wins_0_guess,wins,num_games
1,4,4,0,1,1,9475,12544,15000
1,4,4,1,1,1,10070,12683,15000
1,4,4,0,0,1,2954,9491,15000
1,5,5,1,1,1,10422,12798,15000
1,4,4,1,0,1,3131,9598,15000
1,5,5,1,0,1,3249,9682,15000
1,5,5,0,1,1,9508,12567,15000
1,5,5,0,0,1,2968,9510,15000
1,6,6,1,1,1,10498,12842,15000
1,6,6,1,0,1,3275,9711,15000
1,6,6,0,1,1,9510,12573,15000
1,7,7,1,1,1,10718,12940,15000
1,6,6,0,0,1,2969,9518,15000
1,7,7,0,1,1,9510,12573,15000
1,7,7,0,0,1,2969,9518,15000
1,7,7,1,0,1,3344,9775,15000
1,10,10,1,1,1,10845,13022,15000
1,10,10,1,0,1,3377,9837,15000
1,10,10,0,1,1,9510,12573,15000
1,10,10,0,0,1,2969,9518,15000
1,4,4,1,1,0,8220,12138,15000
1,4,4,1,0,0,2566,9208,15000
1,4,4,0,1,0,8220,12138,15000
1,4,4,0,0,0,2566,9208,15000
1,5,5,1,1,0,9298,12472,15000
1,5,5,1,0,0,2908,9444,15000
1,5,5,0,1,0,9298,12472,15000
1,5,5,0,0,0,2908,9444,15000
1,6,6,1,1,0,9464,12565,15000
1,6,6,1,0,0,2954,9511,15000
1,6,6,0,1,0,9456,12564,15000
1,6,6,0,0,0,2952,9511,15000
1,7,7,1,1,0,9629,12617,15000
1,7,7,1,0,0,3005,9538,15000
1,7,7,0,1,0,9507,12571,15000
1,7,7,0,0,0,2967,9516,15000
1,10,10,1,1,0,10845,13022,15000
1,10,10,1,0,0,3377,9837,15000
1,10,10,0,1,0,9510,12573,15000
1,10,10,0,0,0,2969,9518,15000
2,4,4,0,1,1,12539,14153,15000
2,4,4,1,1,1,12999,14259,15000
2,5,5,1,1,1,13302,14335,15000
2,5,5,0,1,1,12554,14160,15000
2,6,6,1,1,1,13333,14353,15000
2,7,7,1,1,1,13359,14362,15000
2,6,6,0,1,1,12555,14162,15000
2,7,7,0,1,1,12555,14162,15000
2,8,8,1,1,1,13408,14380,15000
2,8,8,0,1,1,12555,14162,15000
2,11,11,1,1,1,13463,14413,15000
2,11,11,0,1,1,12555,14162,15000
2,4,4,1,1,0,11709,13952,15000
2,4,4,0,1,0,11709,13952,15000
2,5,5,1,1,0,12445,14113,15000
2,5,5,0,1,0,12445,14113,15000
2,6,6,1,1,0,12525,14158,15000
2,6,6,0,1,0,12523,14158,15000
2,7,7,1,1,0,12569,14167,15000
2,7,7,0,1,0,12555,14161,15000
2,8,8,1,1,0,12690,14203,15000
2,8,8,0,1,0,12555,14162,15000
2,11,11,1,1,0,13463,14413,15000
2,11,11,0,1,0,12555,14162,15000
2,4,4,0,0,1,5000,11972,15000
2,4,4,1,0,1,5198,12068,15000
2,5,5,1,0,1,5304,12122,15000
2,5,5,0,0,1,5009,11979,15000
2,6,6,1,0,1,5316,12130,15000
2,6,6,0,0,1,5009,11980,15000
2,7,7,0,0,1,5009,11980,15000
2,7,7,1,0,1,5331,12139,15000
2,8,8,1,0,1,5347,12149,15000
2,8,8,0,0,1,5009,11980,15000
2,11,11,1,0,1,5371,12177,15000
2,11,11,0,0,1,5009,11980,15000
2,4,4,1,0,0,4684,11827,15000
2,4,4,0,0,0,4684,11827,15000
2,5,5,1,0,0,4959,11945,15000
2,5,5,0,0,0,4959,11945,15000
2,6,6,1,0,0,4997,11979,15000
2,6,6,0,0,0,4996,11979,15000
2,7,7,1,0,0,5015,11982,15000
2,7,7,0,0,0,5009,11980,15000
2,8,8,1,0,0,5071,12011,15000
2,8,8,0,0,0,5009,11980,15000
2,11,11,1,0,0,5371,12177,15000
2,11,11,0,0,0,5009,11980,15000
3,5,5,1,1,1,10166,12486,15000
3,4,4,0,1,1,9055,12131,15000
3,4,4,1,1,1,9515,12268,15000
3,5,5,0,1,1,9132,12188,15000
3,6,6,1,1,1,10307,12552,15000
3,6,6,0,1,1,9155,12204,15000
3,7,7,1,1,1,10373,12586,15000
3,7,7,0,1,1,9155,12204,15000
3,8,8,1,1,1,10398,12601,15000
3,8,8,0,1,1,9155,12204,15000
3,9,9,1,1,1,10424,12612,15000
3,9,9,0,1,1,9155,12204,15000
3,10,10,1,1,1,10438,12619,15000
3,10,10,0,1,1,9155,12204,15000
3,18,18,1,1,1,10521,12698,15000
3,18,18,0,1,1,9155,12204,15000
3,4,4,1,1,0,6519,10982,15000
3,4,4,0,1,0,6519,10982,15000
3,5,5,1,1,0,8443,11904,15000
3,5,5,0,1,0,8443,11904,15000
3,6,6,1,1,0,8899,12163,15000
3,6,6,0,1,0,8899,12163,15000
3,7,7,1,1,0,9140,12199,15000
3,7,7,0,1,0,9140,12199,15000
3,8,8,1,1,0,9149,12202,15000
3,8,8,0,1,0,9149,12202,15000
3,9,9,1,1,0,9153,12203,15000
3,9,9,0,1,0,9153,12203,15000
3,10,10,1,1,0,9155,12204,15000
3,10,10,0,1,0,9155,12204,15000
3,18,18,1,1,0,10521,12698,15000
3,18,18,0,1,0,9155,12204,15000
3,4,4,0,0,1,2581,8824,15000
3,4,4,1,0,1,2727,8927,15000
3,5,5,1,0,1,2929,9080,15000
3,5,5,0,0,1,2611,8872,15000
3,6,6,0,0,1,2616,8881,15000
3,6,6,1,0,1,2965,9121,15000
3,7,7,0,0,1,2616,8881,15000
3,7,7,1,0,1,2990,9143,15000
3,8,8,0,0,1,2616,8881,15000
3,8,8,1,0,1,3007,9156,15000
3,9,9,0,0,1,2616,8881,15000
3,9,9,1,0,1,3010,9165,15000
3,10,10,0,0,1,2616,8881,15000
3,18,18,1,0,1,3041,9227,15000
3,18,18,0,0,1,2616,8881,15000
3,10,10,1,0,1,3015,9168,15000
3,4,4,0,0,0,1888,8017,15000
3,4,4,1,0,0,1888,8017,15000
3,5,5,1,0,0,2433,8667,15000
3,5,5,0,0,0,2433,8667,15000
3,6,6,1,0,0,2551,8847,15000
3,6,6,0,0,0,2551,8847,15000
3,7,7,0,0,0,2613,8875,15000
3,7,7,1,0,0,2613,8875,15000
3,8,8,0,0,0,2615,8879,15000
3,8,8,1,0,0,2615,8879,15000
3,9,9,0,0,0,2616,8880,15000
3,9,9,1,0,0,2616,8880,15000
3,10,10,0,0,0,2616,8881,15000
3,10,10,1,0,0,2616,8881,15000
3,18,18,1,0,0,3041,9227,15000
3,18,18,0,0,0,2616,8881,15000
4,4,4,0,0,1,251,2315,15000
4,4,4,1,0,1,277,2353,15000
4,5,5,1,0,1,339,2505,15000
4,5,5,0,0,1,268,2419,15000
4,6,6,0,0,1,273,2450,15000
4,6,6,1,0,1,366,2560,15000
4,7,7,0,0,1,274,2458,15000
4,8,8,0,0,1,274,2458,15000
4,7,7,1,0,1,378,2593,15000
4,9,9,0,0,1,277,2460,15000
4,32,18,0,0,1,277,2460,15000
