wins,wins_without_guess,time_elapsed,samples_considered,samples_with_solutions,samples_solve_duration_total,difficulty,sample_size,use_num_mines_constraint,first_click_pos,first_click_is_zero,naive_alg_steps,parameters_id,task_id
4,4,0.019125699996948242,22,21,0.0025720596313476562,Beginner (9x9),11x11,True,,True,0,3,3
2,2,0.023123502731323242,19,14,0.002721071243286133,Beginner (8x8),10x10,True,,True,0,1,1
2,0,0.030742406845092773,25,15,0.004332542419433594,Beginner (8x8),10x10,True,,False,0,2,2
2,1,0.03448820114135742,25,15,0.0028896331787109375,Beginner (9x9),11x11,True,,False,0,4,4
4,3,0.031873464584350586,29,26,0.005095958709716797,Beginner (8x8),10x10,True,,True,1,9,9
4,1,0.0341036319732666,32,27,0.004969596862792969,Beginner (8x8),10x10,True,,False,1,10,10
5,5,0.03577852249145508,22,22,0.009217023849487305,Beginner (9x9),11x11,True,,True,1,11,11
3,2,0.03736281394958496,26,17,0.005026102066040039,Beginner (9x9),11x11,True,,False,1,12,12
2,0,0.11661529541015625,52,40,0.011072158813476562,Intermediate (16x16),18x18,True,,False,0,6,6
2,2,0.22876572608947754,56,51,0.01800704002380371,Intermediate (16x16),18x18,True,,True,0,5,5
0,0,0.26207542419433594,29,12,0.013369321823120117,Expert (16x30),18x32,True,,False,0,8,8
3,1,0.20033836364746094,40,32,0.018079757690429688,Intermediate (16x16),18x18,True,,False,1,14,14
4,3,0.030748367309570312,28,25,0.005507469177246094,Beginner (8x8),10x10,True,,True,2,17,17
4,3,0.22053837776184082,42,40,0.021491289138793945,Intermediate (16x16),18x18,True,,True,1,13,13
4,1,0.03344249725341797,31,26,0.005038261413574219,Beginner (8x8),10x10,True,,False,2,18,18
5,5,0.039316654205322266,22,22,0.013328313827514648,Beginner (9x9),11x11,True,,True,2,19,19
3,2,0.03730034828186035,26,17,0.0054399967193603516,Beginner (9x9),11x11,True,,False,2,20,20
0,0,0.35718464851379395,72,60,0.03451991081237793,Expert (16x30),18x32,True,,True,0,7,7
3,1,0.14573407173156738,40,32,0.01739668846130371,Intermediate (16x16),18x18,True,,False,2,22,22
4,3,0.016200780868530273,28,25,0.002978801727294922,Beginner (8x8),10x10,True,,True,3,25,25
4,1,0.018011093139648438,31,26,0.0027692317962646484,Beginner (8x8),10x10,True,,False,3,26,26
5,5,0.023475170135498047,22,22,0.009344100952148438,Beginner (9x9),11x11,True,,True,3,27,27
4,3,0.22011733055114746,41,39,0.028970956802368164,Intermediate (16x16),18x18,True,,True,2,21,21
3,2,0.021819353103637695,26,17,0.0033304691314697266,Beginner (9x9),11x11,True,,False,3,28,28
0,0,0.45984601974487305,43,34,0.027647972106933594,Expert (16x30),18x32,True,,False,1,16,16
0,0,0.33023905754089355,43,34,0.023131847381591797,Expert (16x30),18x32,True,,False,2,24,24
3,1,0.11948633193969727,40,32,0.016762495040893555,Intermediate (16x16),18x18,True,,False,3,30,30
