wins,wins_without_guess,time_elapsed,samples_considered,samples_with_solutions,difficulty,sample_size,use_num_mines_constraint,first_click_pos,first_click_is_zero,parameters_id
94,90,91.15405702590942,4758,1342,Beginner (9x9),4x4,True,,True,1
77,38,94.29439544677734,5932,1061,Beginner (9x9),4x4,True,,False,2
93,82,95.1380672454834,5078,1348,Beginner (9x9),4x4,True,,True,1
91,84,95.4974102973938,5095,1372,Beginner (9x9),4x4,True,,True,1
89,83,96.65355372428894,5201,1330,Beginner (9x9),4x4,True,,True,1
79,46,97.62289428710938,5830,1144,Beginner (9x9),4x4,True,,False,2
97,87,98.70133924484253,5110,1373,Beginner (9x9),4x4,True,,True,1
94,83,99.13847374916077,5325,1362,Beginner (9x9),4x4,True,,True,1
95,83,100.29471492767334,5263,1366,Beginner (9x9),4x4,True,,True,1
94,83,100.71661853790283,5419,1356,Beginner (9x9),4x4,True,,True,1
92,83,102.40402173995972,5328,1366,Beginner (9x9),4x4,True,,True,1
90,82,103.02898240089417,5338,1361,Beginner (9x9),4x4,True,,True,1
79,41,91.94684076309204,6005,1139,Beginner (9x9),4x4,True,,False,2
74,36,90.9469313621521,6005,1034,Beginner (9x9),4x4,True,,False,2
82,50,94.54035234451294,5801,1171,Beginner (9x9),4x4,True,,False,2
76,37,93.69668006896973,5891,1091,Beginner (9x9),4x4,True,,False,2
80,42,96.82029938697815,6203,1098,Beginner (9x9),4x4,True,,False,2
81,41,104.3988287448883,6405,1199,Beginner (9x9),4x4,True,,False,2
74,42,100.97649717330933,6323,1090,Beginner (9x9),4x4,True,,False,2
84,46,104.64812350273132,6414,1179,Beginner (9x9),4x4,True,,False,2
57,15,360.73272919654846,19508,3425,Intermediate (16x16),4x4,True,,False,4
56,19,380.1372094154358,20924,3542,Intermediate (16x16),4x4,True,,False,4
86,67,483.1601731777191,23064,5322,Intermediate (16x16),4x4,True,,True,3
90,74,486.97245025634766,23191,5422,Intermediate (16x16),4x4,True,,True,3
83,67,488.253440618515,23566,5341,Intermediate (16x16),4x4,True,,True,3
83,72,492.3468916416168,23078,5287,Intermediate (16x16),4x4,True,,True,3
83,72,473.300589799881,22859,5353,Intermediate (16x16),4x4,True,,True,3
86,69,482.33101630210876,23427,5315,Intermediate (16x16),4x4,True,,True,3
