wins,wins_without_guess,time_elapsed,samples_considered,samples_with_solutions,difficulty,sample_size,use_num_mines_constraint,first_click_pos,first_click_is_zero,parameters_id
238,222,11.93565821647644,847,818,Beginner (9x9),11x11,True,"(3, 3)",True,1
239,225,12.294973134994507,823,795,Beginner (9x9),11x11,True,"(3, 3)",True,1
243,224,12.638673067092896,859,824,Beginner (9x9),11x11,True,"(3, 3)",True,1
239,222,12.732407331466675,854,825,Beginner (9x9),11x11,True,"(3, 3)",True,1
243,228,10.84207820892334,822,799,Beginner (9x9),11x11,True,"(3, 3)",True,1
241,220,11.373246431350708,850,819,Beginner (9x9),11x11,True,"(3, 3)",True,1
218,175,121.57497882843018,2156,2053,Intermediate (16x16),18x18,True,"(3, 3)",True,2
214,178,127.21473693847656,2170,2077,Intermediate (16x16),18x18,True,"(3, 3)",True,2
210,182,129.23005056381226,2206,2104,Intermediate (16x16),18x18,True,"(3, 3)",True,2
206,176,131.24536418914795,2166,2053,Intermediate (16x16),18x18,True,"(3, 3)",True,2
239,225,11.357626676559448,836,809,Beginner (9x9),11x11,True,"(3, 3)",True,1
216,183,123.69965505599976,2136,2051,Intermediate (16x16),18x18,True,"(3, 3)",True,2
240,231,10.42026686668396,825,802,Beginner (9x9),11x11,True,"(3, 3)",True,1
219,185,128.6051504611969,2205,2109,Intermediate (16x16),18x18,True,"(3, 3)",True,2
242,229,11.201395750045776,849,825,Beginner (9x9),11x11,True,"(3, 3)",True,1
210,172,134.85418272018433,2205,2094,Intermediate (16x16),18x18,True,"(3, 3)",True,2
215,178,130.198650598526,2143,2035,Intermediate (16x16),18x18,True,"(3, 3)",True,2
241,232,10.123435258865356,796,779,Beginner (9x9),11x11,True,"(3, 3)",True,1
217,174,130.55797004699707,2213,2108,Intermediate (16x16),18x18,True,"(3, 3)",True,2
244,231,10.77958869934082,786,766,Beginner (9x9),11x11,True,"(3, 3)",True,1
207,170,127.87111520767212,2173,2055,Intermediate (16x16),18x18,True,"(3, 3)",True,2
222,189,129.32410049438477,2211,2134,Intermediate (16x16),18x18,True,"(3, 3)",True,2
239,223,12.154406070709229,849,823,Beginner (9x9),11x11,True,"(3, 3)",True,1
220,184,130.0740098953247,2136,2033,Intermediate (16x16),18x18,True,"(3, 3)",True,2
82,36,861.697240114212,4787,4266,Expert (16x30),18x32,True,"(3, 3)",True,3
87,31,864.2437348365784,4836,4298,Expert (16x30),18x32,True,"(3, 3)",True,3
94,39,868.4774770736694,4823,4298,Expert (16x30),18x32,True,"(3, 3)",True,3
238,222,11.810737371444702,845,818,Beginner (9x9),11x11,True,"(3, 3)",True,1
238,225,11.404552698135376,817,791,Beginner (9x9),11x11,True,"(3, 3)",True,1
80,33,872.7425916194916,4743,4196,Expert (16x30),18x32,True,"(3, 3)",True,3
98,42,909.1901743412018,4706,4171,Expert (16x30),18x32,True,"(3, 3)",True,3
234,223,11.51393437385559,833,804,Beginner (9x9),11x11,True,"(3, 3)",True,1
92,32,955.433486700058,4886,4333,Expert (16x30),18x32,True,"(3, 3)",True,3
212,183,121.73205423355103,2162,2077,Intermediate (16x16),18x18,True,"(3, 3)",True,2
237,226,10.935894966125488,823,798,Beginner (9x9),11x11,True,"(3, 3)",True,1
209,170,131.8868637084961,2185,2085,Intermediate (16x16),18x18,True,"(3, 3)",True,2
85,27,886.632159948349,4669,4122,Expert (16x30),18x32,True,"(3, 3)",True,3
88,43,906.3791365623474,4746,4168,Expert (16x30),18x32,True,"(3, 3)",True,3
82,42,918.7522633075714,4889,4367,Expert (16x30),18x32,True,"(3, 3)",True,3
233,220,11.420198917388916,831,797,Beginner (9x9),11x11,True,"(3, 3)",True,1
220,184,133.63665008544922,2144,2048,Intermediate (16x16),18x18,True,"(3, 3)",True,2
240,224,11.638917922973633,835,805,Beginner (9x9),11x11,True,"(3, 3)",True,1
87,39,822.5018591880798,4564,4078,Expert (16x30),18x32,True,"(3, 3)",True,3
237,224,10.451590776443481,799,777,Beginner (9x9),11x11,True,"(3, 3)",True,1
209,172,138.05787420272827,2159,2033,Intermediate (16x16),18x18,True,"(3, 3)",True,2
199,162,130.43399381637573,2159,2034,Intermediate (16x16),18x18,True,"(3, 3)",True,2
240,231,12.326317548751831,827,807,Beginner (9x9),11x11,True,"(3, 3)",True,1
219,175,134.6677484512329,2213,2099,Intermediate (16x16),18x18,True,"(3, 3)",True,2
211,176,137.15185689926147,2264,2141,Intermediate (16x16),18x18,True,"(3, 3)",True,2
241,226,13.388692855834961,843,809,Beginner (9x9),11x11,True,"(3, 3)",True,1
101,43,892.3674929141998,4898,4378,Expert (16x30),18x32,True,"(3, 3)",True,3
214,172,127.0128870010376,2129,2013,Intermediate (16x16),18x18,True,"(3, 3)",True,2
240,229,10.873430013656616,808,785,Beginner (9x9),11x11,True,"(3, 3)",True,1
203,172,140.1047875881195,2168,2038,Intermediate (16x16),18x18,True,"(3, 3)",True,2
214,177,125.29442286491394,2214,2124,Intermediate (16x16),18x18,True,"(3, 3)",True,2
244,230,11.67019009590149,838,819,Beginner (9x9),11x11,True,"(3, 3)",True,1
92,37,939.1432988643646,4961,4417,Expert (16x30),18x32,True,"(3, 3)",True,3
203,168,130.07518935203552,2195,2083,Intermediate (16x16),18x18,True,"(3, 3)",True,2
240,228,12.576339483261108,843,815,Beginner (9x9),11x11,True,"(3, 3)",True,1
216,174,124.70104718208313,2123,2014,Intermediate (16x16),18x18,True,"(3, 3)",True,2
88,36,866.8904211521149,4712,4144,Expert (16x30),18x32,True,"(3, 3)",True,3
233,217,12.326375722885132,836,793,Beginner (9x9),11x11,True,"(3, 3)",True,1
90,29,977.7651977539062,4921,4323,Expert (16x30),18x32,True,"(3, 3)",True,3
94,38,924.9764719009399,4944,4394,Expert (16x30),18x32,True,"(3, 3)",True,3
213,174,127.04468727111816,2196,2097,Intermediate (16x16),18x18,True,"(3, 3)",True,2
243,228,11.217177152633667,791,764,Beginner (9x9),11x11,True,"(3, 3)",True,1
87,26,896.7463808059692,4843,4298,Expert (16x30),18x32,True,"(3, 3)",True,3
245,233,11.264050722122192,809,791,Beginner (9x9),11x11,True,"(3, 3)",True,1
94,33,890.7161905765533,4775,4264,Expert (16x30),18x32,True,"(3, 3)",True,3
89,35,939.5532169342041,4706,4163,Expert (16x30),18x32,True,"(3, 3)",True,3
238,222,12.545121669769287,838,810,Beginner (9x9),11x11,True,"(3, 3)",True,1
217,179,133.38760662078857,2204,2097,Intermediate (16x16),18x18,True,"(3, 3)",True,2
88,27,862.439863204956,4782,4240,Expert (16x30),18x32,True,"(3, 3)",True,3
226,189,130.73172616958618,2202,2111,Intermediate (16x16),18x18,True,"(3, 3)",True,2
240,226,11.935832738876343,870,843,Beginner (9x9),11x11,True,"(3, 3)",True,1
79,28,940.5067040920258,4816,4199,Expert (16x30),18x32,True,"(3, 3)",True,3
238,227,12.35764765739441,837,808,Beginner (9x9),11x11,True,"(3, 3)",True,1
213,179,127.56038284301758,2219,2130,Intermediate (16x16),18x18,True,"(3, 3)",True,2
213,174,130.98187112808228,2229,2129,Intermediate (16x16),18x18,True,"(3, 3)",True,2
89,36,907.6998069286346,4748,4199,Expert (16x30),18x32,True,"(3, 3)",True,3
213,171,138.26218843460083,2262,2127,Intermediate (16x16),18x18,True,"(3, 3)",True,2
88,36,935.7435574531555,4887,4327,Expert (16x30),18x32,True,"(3, 3)",True,3
86,35,844.6786811351776,4983,4474,Expert (16x30),18x32,True,"(3, 3)",True,3
74,32,783.6726338863373,4725,4179,Expert (16x30),18x32,True,"(3, 3)",True,3
101,46,626.960551738739,4929,4494,Expert (16x30),18x32,True,"(3, 3)",True,3
106,38,771.0187697410583,5040,4515,Expert (16x30),18x32,True,"(3, 3)",True,3
87,41,720.9632804393768,4816,4263,Expert (16x30),18x32,True,"(3, 3)",True,3
85,32,647.2863173484802,4809,4248,Expert (16x30),18x32,True,"(3, 3)",True,3
75,26,630.0700373649597,4664,4094,Expert (16x30),18x32,True,"(3, 3)",True,3
95,34,581.0457155704498,4844,4305,Expert (16x30),18x32,True,"(3, 3)",True,3
