wins,wins_without_guess,time_elapsed,samples_considered,samples_with_solutions,difficulty,sample_size,use_num_mines_constraint,first_click_pos,first_click_is_zero,parameters_id
47,46,2.3279049396514893,178,174,Beginner (9x9),11x11,True,"(2, 2)",True,1
49,47,2.437678337097168,179,175,Beginner (9x9),11x11,True,"(2, 2)",True,1
49,49,2.4531924724578857,182,181,Beginner (9x9),11x11,True,"(2, 2)",True,1
48,46,2.4531924724578857,173,170,Beginner (9x9),11x11,True,"(2, 2)",True,1
47,45,2.531306505203247,179,174,Beginner (9x9),11x11,True,"(2, 2)",True,1
49,47,2.6094281673431396,176,174,Beginner (9x9),11x11,True,"(2, 2)",True,1
47,45,2.5938026905059814,172,167,Beginner (9x9),11x11,True,"(2, 2)",True,1
48,44,2.6563010215759277,192,184,Beginner (9x9),11x11,True,"(2, 2)",True,1
49,47,2.718791961669922,201,198,Beginner (9x9),11x11,True,"(2, 2)",True,1
47,44,2.765660047531128,190,185,Beginner (9x9),11x11,True,"(2, 2)",True,1
48,47,2.812530040740967,191,187,Beginner (9x9),11x11,True,"(2, 2)",True,1
46,41,2.9843909740448,191,182,Beginner (9x9),11x11,True,"(2, 2)",True,1
49,46,2.1410250663757324,180,176,Beginner (9x9),11x11,True,"(2, 2)",True,1
50,44,2.3124642372131348,182,178,Beginner (9x9),11x11,True,"(2, 2)",True,1
48,48,2.109356641769409,169,166,Beginner (9x9),11x11,True,"(2, 2)",True,1
46,46,2.2812142372131348,172,169,Beginner (9x9),11x11,True,"(2, 2)",True,1
48,46,2.6877264976501465,173,166,Beginner (9x9),11x11,True,"(2, 2)",True,1
46,43,2.3593339920043945,183,176,Beginner (9x9),11x11,True,"(2, 2)",True,1
48,46,2.6874256134033203,190,185,Beginner (9x9),11x11,True,"(2, 2)",True,1
49,47,2.343707799911499,183,181,Beginner (9x9),11x11,True,"(2, 2)",True,1
50,45,2.6561808586120605,187,182,Beginner (9x9),11x11,True,"(2, 2)",True,1
48,44,2.859283208847046,183,178,Beginner (9x9),11x11,True,"(2, 2)",True,1
49,45,3.062392234802246,200,195,Beginner (9x9),11x11,True,"(2, 2)",True,1
48,46,3.6092588901519775,195,187,Beginner (9x9),11x11,True,"(2, 2)",True,1
48,45,2.4525821208953857,173,169,Beginner (9x9),11x11,True,"(2, 2)",True,1
49,48,2.156155586242676,175,173,Beginner (9x9),11x11,True,"(2, 2)",True,1
47,43,2.3280134201049805,186,181,Beginner (9x9),11x11,True,"(2, 2)",True,1
50,49,1.9843013286590576,167,166,Beginner (9x9),11x11,True,"(2, 2)",True,1
47,46,2.640563488006592,173,169,Beginner (9x9),11x11,True,"(2, 2)",True,1
46,44,2.4843263626098633,185,177,Beginner (9x9),11x11,True,"(2, 2)",True,1
46,43,2.4843263626098633,192,186,Beginner (9x9),11x11,True,"(2, 2)",True,1
45,41,3.109269142150879,180,171,Beginner (9x9),11x11,True,"(2, 2)",True,1
46,46,2.593693494796753,192,188,Beginner (9x9),11x11,True,"(2, 2)",True,1
48,45,2.7030582427978516,189,185,Beginner (9x9),11x11,True,"(2, 2)",True,1
48,48,2.5624454021453857,180,178,Beginner (9x9),11x11,True,"(2, 2)",True,1
47,45,2.3436806201934814,171,165,Beginner (9x9),11x11,True,"(2, 2)",True,1
50,48,2.343947649002075,185,183,Beginner (9x9),11x11,True,"(2, 2)",True,1
45,41,2.593708038330078,186,175,Beginner (9x9),11x11,True,"(2, 2)",True,1
48,43,2.4999639987945557,189,182,Beginner (9x9),11x11,True,"(2, 2)",True,1
48,47,2.2186713218688965,171,168,Beginner (9x9),11x11,True,"(2, 2)",True,1
50,49,2.374903917312622,195,194,Beginner (9x9),11x11,True,"(2, 2)",True,1
49,49,2.171797037124634,167,166,Beginner (9x9),11x11,True,"(2, 2)",True,1
48,42,2.749866008758545,177,169,Beginner (9x9),11x11,True,"(2, 2)",True,1
48,46,3.375279664993286,186,177,Beginner (9x9),11x11,True,"(2, 2)",True,1
48,45,2.53132963180542,184,178,Beginner (9x9),11x11,True,"(2, 2)",True,1
