wins,wins_without_guess,time_elapsed,samples_considered,samples_with_solutions,difficulty,sample_size,use_num_mines_constraint,first_click_pos,first_click_is_zero,parameters_id
48,46,1.999817132949829,159,155,Beginner (9x9),11x11,True,"(3, 3)",True,1
48,48,2.109485387802124,162,160,Beginner (9x9),11x11,True,"(3, 3)",True,1
47,46,2.23447585105896,168,163,Beginner (9x9),11x11,True,"(3, 3)",True,1
49,45,2.26572322845459,155,149,Beginner (9x9),11x11,True,"(3, 3)",True,1
47,44,2.468827724456787,163,156,Beginner (9x9),11x11,True,"(3, 3)",True,1
48,46,2.5156984329223633,163,159,Beginner (9x9),11x11,True,"(3, 3)",True,1
46,39,2.6563100814819336,176,164,Beginner (9x9),11x11,True,"(3, 3)",True,1
50,47,2.6563098430633545,164,162,Beginner (9x9),11x11,True,"(3, 3)",True,1
49,45,2.6563098430633545,181,177,Beginner (9x9),11x11,True,"(3, 3)",True,1
46,45,2.7031803131103516,171,164,Beginner (9x9),11x11,True,"(3, 3)",True,1
47,44,2.734426975250244,186,181,Beginner (9x9),11x11,True,"(3, 3)",True,1
47,41,3.0156517028808594,178,169,Beginner (9x9),11x11,True,"(3, 3)",True,1
49,45,2.031059980392456,153,148,Beginner (9x9),11x11,True,"(3, 3)",True,1
48,45,2.046785593032837,159,154,Beginner (9x9),11x11,True,"(3, 3)",True,1
49,45,2.6876566410064697,168,160,Beginner (9x9),11x11,True,"(3, 3)",True,1
48,44,2.0155415534973145,168,162,Beginner (9x9),11x11,True,"(3, 3)",True,1
50,46,2.3748815059661865,179,175,Beginner (9x9),11x11,True,"(3, 3)",True,1
48,45,2.2655155658721924,167,160,Beginner (9x9),11x11,True,"(3, 3)",True,1
47,43,2.6873490810394287,168,158,Beginner (9x9),11x11,True,"(3, 3)",True,1
46,43,2.8284671306610107,177,171,Beginner (9x9),11x11,True,"(3, 3)",True,1
47,46,2.2660253047943115,162,157,Beginner (9x9),11x11,True,"(3, 3)",True,1
50,45,2.3752825260162354,169,163,Beginner (9x9),11x11,True,"(3, 3)",True,1
49,47,2.281221628189087,164,162,Beginner (9x9),11x11,True,"(3, 3)",True,1
50,45,3.109271764755249,186,177,Beginner (9x9),11x11,True,"(3, 3)",True,1
49,46,1.9531292915344238,159,155,Beginner (9x9),11x11,True,"(3, 3)",True,1
48,42,2.093731164932251,180,173,Beginner (9x9),11x11,True,"(3, 3)",True,1
47,46,1.8906242847442627,152,148,Beginner (9x9),11x11,True,"(3, 3)",True,1
48,44,2.203094244003296,169,163,Beginner (9x9),11x11,True,"(3, 3)",True,1
50,48,1.9838616847991943,159,157,Beginner (9x9),11x11,True,"(3, 3)",True,1
50,46,2.2968358993530273,164,160,Beginner (9x9),11x11,True,"(3, 3)",True,1
47,45,2.1713404655456543,161,156,Beginner (9x9),11x11,True,"(3, 3)",True,1
49,46,1.9530375003814697,155,151,Beginner (9x9),11x11,True,"(3, 3)",True,1
46,44,2.3276829719543457,170,164,Beginner (9x9),11x11,True,"(3, 3)",True,1
46,44,2.078115463256836,159,151,Beginner (9x9),11x11,True,"(3, 3)",True,1
48,42,2.9687435626983643,185,175,Beginner (9x9),11x11,True,"(3, 3)",True,1
47,42,2.9687438011169434,191,181,Beginner (9x9),11x11,True,"(3, 3)",True,1
50,48,1.9375038146972656,164,162,Beginner (9x9),11x11,True,"(3, 3)",True,1
47,44,1.9842841625213623,164,158,Beginner (9x9),11x11,True,"(3, 3)",True,1
48,47,2.062808036804199,172,166,Beginner (9x9),11x11,True,"(3, 3)",True,1
47,46,1.9687469005584717,170,164,Beginner (9x9),11x11,True,"(3, 3)",True,1
49,48,2.3124752044677734,166,165,Beginner (9x9),11x11,True,"(3, 3)",True,1
49,46,2.2656054496765137,161,157,Beginner (9x9),11x11,True,"(3, 3)",True,1
49,46,1.9843816757202148,163,159,Beginner (9x9),11x11,True,"(3, 3)",True,1
50,46,2.140615940093994,172,168,Beginner (9x9),11x11,True,"(3, 3)",True,1
49,49,1.781184434890747,160,159,Beginner (9x9),11x11,True,"(3, 3)",True,1
46,45,2.0155351161956787,155,150,Beginner (9x9),11x11,True,"(3, 3)",True,1
49,48,2.1248998641967773,154,152,Beginner (9x9),11x11,True,"(3, 3)",True,1
47,45,2.93741774559021,183,177,Beginner (9x9),11x11,True,"(3, 3)",True,1
49,46,2.234670639038086,165,161,Beginner (9x9),11x11,True,"(3, 3)",True,1
48,44,1.937509298324585,162,157,Beginner (9x9),11x11,True,"(3, 3)",True,1
50,47,1.906163215637207,150,147,Beginner (9x9),11x11,True,"(3, 3)",True,1
49,45,2.2030210494995117,148,143,Beginner (9x9),11x11,True,"(3, 3)",True,1
46,45,2.3589394092559814,171,165,Beginner (9x9),11x11,True,"(3, 3)",True,1
50,45,2.062399387359619,153,148,Beginner (9x9),11x11,True,"(3, 3)",True,1
49,49,2.3592469692230225,164,163,Beginner (9x9),11x11,True,"(3, 3)",True,1
47,45,1.7812657356262207,159,155,Beginner (9x9),11x11,True,"(3, 3)",True,1
47,42,2.8124186992645264,182,173,Beginner (9x9),11x11,True,"(3, 3)",True,1
48,44,2.218724012374878,167,161,Beginner (9x9),11x11,True,"(3, 3)",True,1
50,47,2.359337091445923,171,169,Beginner (9x9),11x11,True,"(3, 3)",True,1
47,45,2.81242036819458,170,165,Beginner (9x9),11x11,True,"(3, 3)",True,1
45,43,2.1402008533477783,168,161,Beginner (9x9),11x11,True,"(3, 3)",True,1
48,43,2.296750545501709,175,168,Beginner (9x9),11x11,True,"(3, 3)",True,1
48,43,2.156226873397827,159,153,Beginner (9x9),11x11,True,"(3, 3)",True,1
49,48,2.140610933303833,163,161,Beginner (9x9),11x11,True,"(3, 3)",True,1
48,46,2.3749635219573975,164,160,Beginner (9x9),11x11,True,"(3, 3)",True,1
48,46,1.9686636924743652,150,147,Beginner (9x9),11x11,True,"(3, 3)",True,1
49,47,2.8749186992645264,179,176,Beginner (9x9),11x11,True,"(3, 3)",True,1
46,39,2.6093196868896484,175,162,Beginner (9x9),11x11,True,"(3, 3)",True,1
